RIFT DECK V51 INDEX
===================

[MONSTERS]
e001  불꽃갈기 늑대  | 화염 | beast | /assets/enemies/e001.png
e142  잿불도마 루비크  | 화염 | serpent | /assets/enemies/e142.png
e143  용암등껍 케르톤  | 화염 | leviathan | /assets/enemies/e143.png
e144  홍염나방 벨피아  | 화염 | wing | /assets/enemies/e144.png
e145  적천조 라미엘  | 화염 | phoenix | /assets/enemies/e145.png
e146  물방울요정 아쿠리  | 물 | spirit | /assets/enemies/e146.png
e147  조개갑거북 루톤  | 물 | beast | /assets/enemies/e147.png
e148  해류뱀 세르마  | 물 | serpent | /assets/enemies/e148.png
e149  심연해파리 네루  | 물 | spirit | /assets/enemies/e149.png
e150  폭포룡 바르아  | 물 | leviathan | /assets/enemies/e150.png
e151  이끼거상 모루  | 자연 | golem | /assets/enemies/e151.png
e152  꽃사슴 플로아  | 자연 | beast | /assets/enemies/e152.png
e153  덩굴뱀 비네스  | 자연 | serpent | /assets/enemies/e153.png
e154  수피정령 드루니  | 자연 | spirit | /assets/enemies/e154.png
e155  고목수호수 엔트릭  | 자연 | golem | /assets/enemies/e155.png
e156  전뢰족제비 지크  | 번개 | beast | /assets/enemies/e156.png
e157  전류묘 네온  | 번개 | beast | /assets/enemies/e157.png
e158  낙뢰매 토르비  | 번개 | wing | /assets/enemies/e158.png
e159  스파크거미 젤렉스  | 번개 | insect | /assets/enemies/e159.png
e160  뇌신룡 카라진  | 번개 | leviathan | /assets/enemies/e160.png
e161  암갑거북 그라빅  | 강철 | beast | /assets/enemies/e161.png
e162  굴착두더지 모른  | 자연 | beast | /assets/enemies/e162.png
e163  중암골렘 바르크  | 강철 | golem | /assets/enemies/e163.png
e164  사막전갈 샤르  | 자연 | insect | /assets/enemies/e164.png
e165  대지수호자 테르곤  | 자연 | watcher | /assets/enemies/e165.png
e166  설빙부엉이 루미  | 수정 | wing | /assets/enemies/e166.png
e167  서리여우 프리엘  | 수정 | beast | /assets/enemies/e167.png
e168  빙하거인 볼가  | 수정 | golem | /assets/enemies/e168.png
e169  눈꽃토끼 스노리  | 수정 | watcher | /assets/enemies/e169.png
e170  영도룡 크리오스  | 수정 | leviathan | /assets/enemies/e170.png
e171  독포자균 머쉬라  | 그림자 | mushroom | /assets/enemies/e171.png
e172  맹독도롱 베노라  | 그림자 | serpent | /assets/enemies/e172.png
e173  가시독멧 글로프  | 그림자 | beast | /assets/enemies/e173.png
e174  안개독박쥐 네블  | 그림자 | wing | /assets/enemies/e174.png
e175  심독사 우로크  | 그림자 | beast | /assets/enemies/e175.png
e176  흑염늑대 모르크  | 공허 | beast | /assets/enemies/e176.png
e177  몽환까마귀 레븐  | 그림자 | wing | /assets/enemies/e177.png
e178  암흑기사 베일  | 그림자 | knight | /assets/enemies/e178.png
e179  혼불구체 스펙트  | 공허 | wraith | /assets/enemies/e179.png
e180  심연군주 녹티르  | 공허 | tyrant | /assets/enemies/e180.png
e181  별결정요정 아스티  | 별 | spirit | /assets/enemies/e181.png
e182  환영묘 미라쥬  | 시간 | beast | /assets/enemies/e182.png
e183  염동해파리 프시온  | 시간 | spirit | /assets/enemies/e183.png
e184  시계안구 크로니  | 시간 | watcher | /assets/enemies/e184.png
e185  몽계지배자 드리마  | 시간 | tyrant | /assets/enemies/e185.png
e186  백은기사 아르젠  | 강철 | knight | /assets/enemies/e186.png
e187  태엽거상 코그론  | 강철 | drone | /assets/enemies/e187.png
e188  톱날거미 스틸렉  | 강철 | insect | /assets/enemies/e188.png
e189  합금비룡 페로스  | 강철 | leviathan | /assets/enemies/e189.png
e190  무한병기 아르카논  | 강철 | drone | /assets/enemies/e190.png
e191  바람방울 포포  | 바람 | beast | /assets/enemies/e191.png
e192  질풍매 제피라  | 바람 | wing | /assets/enemies/e192.png
e193  회오리수리 볼티아  | 바람 | wing | /assets/enemies/e193.png
e194  구름사슴 네페라  | 바람 | beast | /assets/enemies/e194.png
e195  폭풍정령 템페아  | 바람 | spirit | /assets/enemies/e195.png
e196  요정토끼 루루  | 빛 | spirit | /assets/enemies/e196.png
e197  달빛나비 셀렌  | 별 | beast | /assets/enemies/e197.png
e198  치유사슴 에이라  | 빛 | beast | /assets/enemies/e198.png
e199  요술나무 미르브  | 자연 | golem | /assets/enemies/e199.png
e200  천상수호자 세라핀  | 빛 | watcher | /assets/enemies/e200.png

[BOSSES]
b001  세계수의 아이 유니드  | 자연 | leviathan | /assets/enemies/b001.png
b002  태양의 사자 솔레오  | 화염 | tyrant | /assets/enemies/b002.png
b003  눈꽃성수 스노엘  | 수정 | spirit | /assets/enemies/b003.png
b004  성운룡 하이온  | 별 | leviathan | /assets/enemies/b004.png
b005  어둠왕관 모르칸  | 공허 | tyrant | /assets/enemies/b005.png

[IMPORTANT FILES]
data/catalog.json
public/app.js
public/styles.css
scripts/extract_v50_monsters.py
scripts/update_v50_catalog.py
scripts/generate_v50_forms.py
PATCH_APPLY_V50.txt
RELEASE_NOTES_V50.md
